Nd	CaF2(I)	1.0466	-0- 	4F3/2	4I11/2	2028	0.5	1.1	2	p	50	6.35x75	Xe	160	4/27/1988	7013
Nd	CaF2(I)	1.048	-0- 	4F3/2	4I11/2	2053	0.5	1.1	2	p	50	6.35x75	Xe	1350	4/27/1988	7013
Nd	CaF2(I)	1.0507	-0- 	4F3/2	4I11/2	2061	0.5	1.1	3	p	50	6.35x75	Xe	870	4/27/1988	7013
Nd	CaF2(I)	1.0648	-0- 	4F3/2	4I11/2	2191	0.5	1.1	5	p	50	6.35x75	Xe	1100	4/27/1988	7013
Nd	CaF2(I)	1.037	-0- 	4F3/2	4I11/2	2030	0.5	1.1	5	p	500	6.5x75	Xe	-0- 	4/27/1988	7014
Nd	CaF2(I)	1.0461	1.0468	4F3/2	4I11/2	2032	0.5	1.1	20	p	530	6.5x75	Xe	-0- 	4/27/1988	7015
Nd	CaF2(I)	1.0628	1.0623	4F3/2	4I11/2	-0- 	0.5	1.1	30	p	560	6.5x75	Xe	-0- 	4/27/1988	7016
Nd	CaF2(11)	1.0885	1.0889	4F3/2	4I11/2	2000	0.35	1.25	25	p	420	6x75	Xe	170	4/27/1988	7017
Nd	CaF2-CeF3(30%)	1.0657	1.064	4F3/2	4I11/2	2000	0.75	0.7	100	p	700	5X45	Xe	86	4/27/1988	7018
Nd	CaF2-CeF3(30%)	1.319	-0- 	4F3/2	4I13/2	4100	0.5	0.7	100	p	300	5.5x45	Xe	300	4/27/1988	7000
Nd	CaF2-CeO2	1.0885	-0- 	4F3/2	4I11/2	2000	1	1.2	25	p	300	6.5x45	Xe	850	4/27/1988	7000
Nd	CaF2-GdF3(10%)	1.0654	-0- 	4F3/2	4I11/2	2000	2	-0- 	110	p	300	5x21	Xe	30	4/27/1988	7000
Nd	CaF2-GdF3(10%)	1.3185	-0- 	4F3/2	4I13/2	4000	2	-0- 	100	p	300	5x21	Xe	90	4/27/1988	7000
Nd	CaF2-LaF3(10%)	1.0645	-0- 	4F3/2	4I11/2	2000	2	-0- 	100	p	300	5x21	Xe	25	4/27/1988	7000
Nd	CaF2-LaF3(10%)	1.319	-0- 	4F3/2	4I13/2	4000	2	-0- 	120	p	300	5x21	Xe	70	4/27/1988	7000
Nd	CaF2-SrF2(50%)	1.0369	-0- 	4F3/2	4I11/2	2000	0.5	1.4	20	p	300	5x20	Xe	140	4/27/1988	7000
Nd	CaF2-SrF2-BaF2	1.0535	-0- 	4F3/2	4I11/2	2000	1	0.4	100	p	300	5x30	Xe	30	4/27/1988	7000
Nd	0	1.0623	-0- 	4F3/2	4I11/2	2000	1	0.4	120	p	300	5x30	Xe	150	4/27/1988	7000
Nd	0	1.0535	1.0547	4F3/2	4I11/2	2000	1	0.4	100	p	550	5x30	Xe	150	4/27/1988	7019
Nd	0	1.0623	1.0585	4F3/2	4I11/2	2000	1	0.4	120	p	700	5x30	Xe	150	4/27/1988	7020
Nd	CaF2-YF3	1.0461	-0- 	4F3/2	4I11/2	2032	6.1	0.48	30	p	300	5x40-75	Xe	180	4/27/1988	7021
Nd	CaF2-YF3	1.054	-0- 	4F3/2	4I11/2	-0- 	6.1	0.48	65	p	300	5x40-75	Xe	6	4/27/1988	7021
Nd	CaF2-YF3	1.0632	-0- 	4F3/2	4I11/2	2170	6.1	0.48	90	p	300	5x40-75	Xe	7	4/27/1988	7021
Nd	CaF2-YF3	1.054	1.054	4F3/2	4I11/2	-0- 	6.1	0.48	65	p	430	5x45	Xe	7	4/27/1988	7022
Nd	CaF2-YF3	1.0632	1.0603	4F3/2	4I11/2	2170	6.1	0.48	90	p	950	5x45	Xe	7	4/27/1988	7023
Nd	CaF2-YF3	1.327	-0- 	4F3/2	4I13/2	4040	1.5	0.48	70	p	300	5x39	Xe	12	4/27/1988	7024
